image_sequence_folder,label
.\train_frames\14746_55,but
.\train_frames\14751_12,finish
.\train_frames\14789_62,beautiful
.\train_frames\14790_46,bored
.\train_frames\14791_46,bored
.\train_frames\14792_1,nice
.\train_frames\14793_1,nice
.\train_frames\14802_88,big
.\train_frames\14821_4,no
.\train_frames\14822_4,no
.\train_frames\14823_4,no
.\train_frames\14824_64,blue
.\train_frames\14829_39,girl
.\train_frames\14830_19,mother
.\train_frames\14831_19,mother
.\train_frames\14832_19,mother
.\train_frames\14837_29,need
.\train_frames\14840_37,nothing
.\train_frames\14844_31,father
.\train_frames\14846_34,brother
.\train_frames\14847_34,brother
.\train_frames\14854_8,want
.\train_frames\14855_92,grandfather
.\train_frames\14859_42,boy
.\train_frames\14864_44,family
.\train_frames\14867_11,sister
.\train_frames\14868_8,want
.\train_frames\14870_6,like
.\train_frames\14871_78,grandmother
.\train_frames\14873_33,cousin
.\train_frames\14891_83,when
.\train_frames\14892_83,when
.\train_frames\14893_94,right
.\train_frames\14902_62,beautiful
.\train_frames\14903_30,where
.\train_frames\14905_23,spring
.\train_frames\14906_23,spring
.\train_frames\14912_23,spring
.\train_frames\14913_23,spring
.\train_frames\14929_61,red
.\train_frames\14943_27,sad
.\train_frames\14954_64,blue
.\train_frames\14956_96,pink
.\train_frames\14957_41,black
.\train_frames\14962_84,dance
.\train_frames\14973_54,hungry
.\train_frames\14991_14,bird
.\train_frames\15001_100,apple
.\train_frames\15010_7,orange
.\train_frames\15011_56,drink
.\train_frames\15014_48,water
.\train_frames\15036_51,doctor
.\train_frames\15037_51,doctor
.\train_frames\15038_51,doctor
.\train_frames\15039_71,nurse
.\train_frames\15045_2,teacher
.\train_frames\15050_55,but
.\train_frames\15061_95,france
.\train_frames\15062_95,france
.\train_frames\15068_20,yes
.\train_frames\15069_20,yes
.\train_frames\15072_43,lost
.\train_frames\15073_43,lost
.\train_frames\15081_37,nothing
.\train_frames\15094_40,fine
.\train_frames\15095_16,tired
.\train_frames\15096_16,tired
.\train_frames\15097_63,sick
.\train_frames\15098_6,like
.\train_frames\15101_99,night
.\train_frames\15102_99,night
.\train_frames\15103_49,computer
.\train_frames\15104_49,computer
.\train_frames\15106_3,eat
.\train_frames\15107_3,eat
.\train_frames\15108_56,drink
.\train_frames\15109_85,play
.\train_frames\15110_85,play
.\train_frames\15123_80,walk
.\train_frames\15129_41,black
.\train_frames\15132_74,brown
.\train_frames\15134_61,red
.\train_frames\15135_64,blue
.\train_frames\15136_52,yellow
.\train_frames\15137_13,white
.\train_frames\15138_65,green
.\train_frames\15141_84,dance
.\train_frames\15144_41,black
.\train_frames\15151_78,grandmother
.\train_frames\15155_46,bored
.\train_frames\15189_85,play
.\train_frames\15198_62,beautiful
.\train_frames\15204_26,again
.\train_frames\15205_57,bathroom
.\train_frames\15206_46,bored
.\train_frames\15210_9,deaf
.\train_frames\15215_99,night
.\train_frames\15218_40,fine
.\train_frames\15220_17,friend
.\train_frames\15222_24,good
.\train_frames\15225_68,you
.\train_frames\15226_45,hearing
.\train_frames\15232_97,know
.\train_frames\15235_22,learn
.\train_frames\15236_6,like
.\train_frames\15238_70,same
.\train_frames\15243_67,name
.\train_frames\15244_1,nice
.\train_frames\15245_4,no
.\train_frames\15246_37,nothing
.\train_frames\15247_47,please
.\train_frames\15249_27,sad
.\train_frames\15251_10,school
.\train_frames\15253_63,sick
.\train_frames\15254_86,sign
.\train_frames\15259_24,good
.\train_frames\15260_16,tired
.\train_frames\15262_73,now
.\train_frames\15264_60,understand
.\train_frames\15265_8,want
.\train_frames\15268_20,yes
.\train_frames\15269_68,you
.\train_frames\1526_1,nice
.\train_frames\15277_59,how
.\train_frames\1527_1,nice
.\train_frames\15282_34,brother
.\train_frames\15284_58,man
.\train_frames\15287_93,woman
.\train_frames\15288_74,brown
.\train_frames\1528_1,nice
.\train_frames\15293_17,friend
.\train_frames\15296_7,orange
.\train_frames\15315_22,learn
.\train_frames\15316_6,like
.\train_frames\15321_64,blue
.\train_frames\15325_17,friend
.\train_frames\15326_17,friend
.\train_frames\15329_30,where
.\train_frames\15337_2,teacher
.\train_frames\15338_2,teacher
.\train_frames\15339_21,student
.\train_frames\1533_72,day
.\train_frames\15340_21,student
.\train_frames\15341_21,student
.\train_frames\15342_17,friend
.\train_frames\15349_91,draw
.\train_frames\1534_72,day
.\train_frames\15352_49,computer
.\train_frames\15353_49,computer
.\train_frames\15356_82,read
.\train_frames\15357_82,read
.\train_frames\15358_82,read
.\train_frames\15359_53,write
.\train_frames\1535_99,night
.\train_frames\15360_53,write
.\train_frames\15363_79,pencil
.\train_frames\15364_79,pencil
.\train_frames\15365_35,paper
.\train_frames\15366_10,school
.\train_frames\15367_28,table
.\train_frames\15368_28,table
.\train_frames\15369_18,sit
.\train_frames\1536_99,night
.\train_frames\15371_71,nurse
.\train_frames\15377_38,book
.\train_frames\15385_6,like
.\train_frames\15386_6,like
.\train_frames\15387_63,sick
.\train_frames\15388_96,pink
.\train_frames\153_74,brown
.\train_frames\15426_82,read
.\train_frames\15434_25,fish
.\train_frames\15436_68,you
.\train_frames\1544_5,happy
.\train_frames\15450_88,big
.\train_frames\15452_56,drink
.\train_frames\15455_32,milk
.\train_frames\1545_5,happy
.\train_frames\15460_96,pink
.\train_frames\1546_5,happy
.\train_frames\15474_51,doctor
.\train_frames\15475_51,doctor
.\train_frames\1547_27,sad
.\train_frames\15506_12,finish
.\train_frames\15522_36,forget
.\train_frames\15528_85,play
.\train_frames\15532_38,book
.\train_frames\15540_66,english
.\train_frames\15556_74,brown
.\train_frames\15561_17,friend
.\train_frames\15569_75,thanks
.\train_frames\15580_24,good
.\train_frames\15581_52,yellow
.\train_frames\15588_16,tired
.\train_frames\15589_16,tired
.\train_frames\1561_63,sick
.\train_frames\1562_63,sick
.\train_frames\1563_63,sick
.\train_frames\15645_84,dance
.\train_frames\15646_84,dance
.\train_frames\1567_29,need
.\train_frames\1568_59,how
.\train_frames\1569_59,how
.\train_frames\15708_81,bad
.\train_frames\1570_59,how
.\train_frames\15720_91,draw
.\train_frames\15734_49,computer
.\train_frames\15735_49,computer
.\train_frames\15736_49,computer
.\train_frames\15739_84,dance
.\train_frames\1573_6,like
.\train_frames\15743_66,english
.\train_frames\15744_36,forget
.\train_frames\1574_6,like
.\train_frames\15753_21,student
.\train_frames\15766_53,write
.\train_frames\15771_13,white
.\train_frames\15783_25,fish
.\train_frames\15789_49,computer
.\train_frames\15798_65,green
.\train_frames\15800_2,teacher
.\train_frames\15801_74,brown
.\train_frames\15809_74,brown
.\train_frames\15811_41,black
.\train_frames\15812_56,drink
.\train_frames\1582_25,fish
.\train_frames\15899_66,english
.\train_frames\15900_66,english
.\train_frames\15902_5,happy
.\train_frames\15903_5,happy
.\train_frames\15907_26,again
.\train_frames\15908_26,again
.\train_frames\15929_57,bathroom
.\train_frames\15938_99,night
.\train_frames\15943_25,fish
.\train_frames\15956_2,teacher
.\train_frames\15963_70,same
.\train_frames\15964_52,yellow
.\train_frames\15965_52,yellow
.\train_frames\15966_52,yellow
.\train_frames\15976_31,father
.\train_frames\15977_40,fine
.\train_frames\15980_68,you
.\train_frames\15982_67,name
.\train_frames\15983_15,what
.\train_frames\15984_69,who
.\train_frames\15985_30,where
.\train_frames\15989_53,write
.\train_frames\15990_53,write
.\train_frames\15992_61,red
.\train_frames\15993_52,yellow
.\train_frames\15994_7,orange
.\train_frames\15995_65,green
.\train_frames\15996_74,brown
.\train_frames\15997_74,brown
.\train_frames\15998_41,black
.\train_frames\15999_13,white
.\train_frames\16000_58,man
.\train_frames\16003_64,blue
.\train_frames\16006_4,no
.\train_frames\16007_60,understand
.\train_frames\16008_98,live
.\train_frames\16010_77,here
.\train_frames\16011_77,here
.\train_frames\16015_70,same
.\train_frames\16016_55,but
.\train_frames\1601_28,table
.\train_frames\16020_93,woman
.\train_frames\1602_28,table
.\train_frames\16031_18,sit
.\train_frames\16039_35,paper
.\train_frames\1603_28,table
.\train_frames\16040_91,draw
.\train_frames\16041_94,right
.\train_frames\16043_84,dance
.\train_frames\16046_18,sit
.\train_frames\16047_82,read
.\train_frames\16049_53,write
.\train_frames\1604_50,help
.\train_frames\16052_22,learn
.\train_frames\1605_50,help
.\train_frames\1623_29,need
.\train_frames\1624_29,need
.\train_frames\1625_29,need
.\train_frames\1626_29,need
.\train_frames\1630_73,now
.\train_frames\1631_73,now
.\train_frames\1635_58,man
.\train_frames\163_5,happy
.\train_frames\1654_52,yellow
.\train_frames\1664_74,brown
.\train_frames\1665_74,brown
.\train_frames\1669_2,teacher
.\train_frames\1672_61,red
.\train_frames\167_90,work
.\train_frames\1682_12,finish
.\train_frames\1685_98,live
.\train_frames\1687_43,lost
.\train_frames\1696_60,understand
.\train_frames\1699_76,hurt
.\train_frames\170_98,live
.\train_frames\171_98,live
.\train_frames\1724_57,bathroom
.\train_frames\1751_52,yellow
.\train_frames\1752_50,help
.\train_frames\1777_20,yes
.\train_frames\1784_83,when
.\train_frames\1785_83,when
.\train_frames\1786_83,when
.\train_frames\178_41,black
.\train_frames\1793_79,pencil
.\train_frames\1794_55,but
.\train_frames\1799_78,grandmother
.\train_frames\179_41,black
.\train_frames\1801_33,cousin
.\train_frames\1803_33,cousin
.\train_frames\180_64,blue
.\train_frames\1812_45,hearing
.\train_frames\1814_89,sorry
.\train_frames\181_64,blue
.\train_frames\182_74,brown
.\train_frames\1830_26,again
.\train_frames\1833_25,fish
.\train_frames\183_74,brown
.\train_frames\1854_65,green
.\train_frames\1858_33,cousin
.\train_frames\1859_33,cousin
.\train_frames\1860_33,cousin
.\train_frames\1866_54,hungry
.\train_frames\1867_56,drink
.\train_frames\1869_48,water
.\train_frames\1870_32,milk
.\train_frames\1890_100,apple
.\train_frames\1898_83,when
.\train_frames\1899_83,when
.\train_frames\1901_86,sign
.\train_frames\1978_14,bird
.\train_frames\1979_14,bird
.\train_frames\1980_25,fish
.\train_frames\1981_25,fish
.\train_frames\1982_25,fish
.\train_frames\1983_25,fish
.\train_frames\1984_25,fish
.\train_frames\1985_25,fish
.\train_frames\1986_25,fish
.\train_frames\1987_25,fish
.\train_frames\2008_70,same
.\train_frames\2010_13,white
.\train_frames\2011_13,white
.\train_frames\2012_13,white
.\train_frames\2013_13,white
.\train_frames\2069_98,live
.\train_frames\207_65,green
.\train_frames\208_65,green
.\train_frames\2107_88,big
.\train_frames\2108_5,happy
.\train_frames\2109_27,sad
.\train_frames\2110_1,nice
.\train_frames\2112_64,blue
.\train_frames\2113_65,green
.\train_frames\2114_52,yellow
.\train_frames\2115_7,orange
.\train_frames\2117_41,black
.\train_frames\2118_13,white
.\train_frames\2119_96,pink
.\train_frames\2120_74,brown
.\train_frames\2134_72,day
.\train_frames\2135_9,deaf
.\train_frames\2136_28,table
.\train_frames\2137_28,table
.\train_frames\2138_3,eat
.\train_frames\2145_54,hungry
.\train_frames\2152_29,need
.\train_frames\2153_37,nothing
.\train_frames\2156_79,pencil
.\train_frames\2158_82,read
.\train_frames\2160_18,sit
.\train_frames\2161_21,student
.\train_frames\2162_21,student
.\train_frames\2167_2,teacher
.\train_frames\216_77,here
.\train_frames\2172_80,walk
.\train_frames\2173_48,water
.\train_frames\2177_15,what
.\train_frames\2178_30,where
.\train_frames\217_77,here
.\train_frames\2180_69,who
.\train_frames\2184_90,work
.\train_frames\2185_53,write
.\train_frames\218_77,here
.\train_frames\2190_66,english
.\train_frames\2192_42,boy
.\train_frames\2193_73,now
.\train_frames\2197_51,doctor
.\train_frames\2198_51,doctor
.\train_frames\2199_1,nice
.\train_frames\219_77,here
.\train_frames\2200_1,nice
.\train_frames\2221_16,tired
.\train_frames\2222_80,walk
.\train_frames\2223_88,big
.\train_frames\2224_88,big
.\train_frames\2225_11,sister
.\train_frames\2226_11,sister
.\train_frames\2231_84,dance
.\train_frames\2235_62,beautiful
.\train_frames\2236_62,beautiful
.\train_frames\2237_62,beautiful
.\train_frames\2260_71,nurse
.\train_frames\2263_53,write
.\train_frames\2264_77,here
.\train_frames\2268_3,eat
.\train_frames\2270_66,english
.\train_frames\2275_100,apple
.\train_frames\2294_26,again
.\train_frames\2296_82,read
.\train_frames\2297_9,deaf
.\train_frames\2298_74,brown
.\train_frames\2305_19,mother
.\train_frames\2306_96,pink
.\train_frames\2310_84,dance
.\train_frames\2327_13,white
.\train_frames\2334_47,please
.\train_frames\2363_37,nothing
.\train_frames\2364_37,nothing
.\train_frames\2389_43,lost
.\train_frames\2391_76,hurt
.\train_frames\2397_12,finish
.\train_frames\2398_35,paper
.\train_frames\2419_95,france
.\train_frames\2437_51,doctor
.\train_frames\2443_57,bathroom
.\train_frames\2453_71,nurse
.\train_frames\2461_48,water
.\train_frames\2465_100,apple
.\train_frames\2477_76,hurt
.\train_frames\2479_18,sit
.\train_frames\2486_10,school
.\train_frames\2487_10,school
.\train_frames\2492_44,family
.\train_frames\2493_19,mother
.\train_frames\2494_31,father
.\train_frames\2498_39,girl
.\train_frames\2499_42,boy
.\train_frames\249_7,orange
.\train_frames\2500_11,sister
.\train_frames\2501_34,brother
.\train_frames\2502_92,grandfather
.\train_frames\2507_33,cousin
.\train_frames\250_7,orange
.\train_frames\2511_22,learn
.\train_frames\2513_2,teacher
.\train_frames\2514_21,student
.\train_frames\2515_38,book
.\train_frames\2516_57,bathroom
.\train_frames\2518_56,drink
.\train_frames\2519_20,yes
.\train_frames\2520_4,no
.\train_frames\2525_64,blue
.\train_frames\2526_65,green
.\train_frames\2527_52,yellow
.\train_frames\2528_96,pink
.\train_frames\2529_41,black
.\train_frames\2530_74,brown
.\train_frames\2532_13,white
.\train_frames\2548_30,where
.\train_frames\254_96,pink
.\train_frames\2557_39,girl
.\train_frames\2558_19,mother
.\train_frames\2563_29,need
.\train_frames\2568_37,nothing
.\train_frames\2572_31,father
.\train_frames\2574_34,brother
.\train_frames\2575_34,brother
.\train_frames\2580_8,want
.\train_frames\2581_92,grandfather
.\train_frames\2585_42,boy
.\train_frames\2588_44,family
.\train_frames\2590_11,sister
.\train_frames\2591_8,want
.\train_frames\2593_6,like
.\train_frames\2594_78,grandmother
.\train_frames\2596_33,cousin
.\train_frames\259_61,red
.\train_frames\25_95,france
.\train_frames\260_61,red
.\train_frames\2612_83,when
.\train_frames\2613_94,right
.\train_frames\2623_62,beautiful
.\train_frames\2624_30,where
.\train_frames\2627_43,lost
.\train_frames\2655_1,nice
.\train_frames\2656_1,nice
.\train_frames\2657_46,bored
.\train_frames\2666_62,beautiful
.\train_frames\2667_62,beautiful
.\train_frames\2668_55,but
.\train_frames\266_23,spring
.\train_frames\2673_12,finish
.\train_frames\2696_95,france
.\train_frames\2697_95,france
.\train_frames\2706_24,good
.\train_frames\2707_24,good
.\train_frames\2709_25,fish
.\train_frames\2718_14,bird
.\train_frames\2732_67,name
.\train_frames\2736_94,right
.\train_frames\2737_94,right
.\train_frames\2747_69,who
.\train_frames\2751_78,grandmother
.\train_frames\2767_25,fish
.\train_frames\2789_26,again
.\train_frames\2790_99,night
.\train_frames\2798_44,family
.\train_frames\2809_17,friend
.\train_frames\2814_73,now
.\train_frames\2825_54,hungry
.\train_frames\2826_12,finish
.\train_frames\2835_98,live
.\train_frames\2848_25,fish
.\train_frames\2849_14,bird
.\train_frames\287_13,white
.\train_frames\2880_55,but
.\train_frames\288_13,white
.\train_frames\2900_2,teacher
.\train_frames\2902_21,student
.\train_frames\2903_22,learn
.\train_frames\2904_9,deaf
.\train_frames\2906_95,france
.\train_frames\2907_66,english
.\train_frames\2909_77,here
.\train_frames\2910_77,here
.\train_frames\2914_43,lost
.\train_frames\2921_40,fine
.\train_frames\2924_16,tired
.\train_frames\2935_84,dance
.\train_frames\293_52,yellow
.\train_frames\2942_15,what
.\train_frames\2943_15,what
.\train_frames\2944_15,what
.\train_frames\2945_15,what
.\train_frames\294_52,yellow
.\train_frames\2954_55,but
.\train_frames\2956_25,fish
.\train_frames\2957_55,but
.\train_frames\2969_23,spring
.\train_frames\2972_43,lost
.\train_frames\2985_43,lost
.\train_frames\2995_6,like
.\train_frames\2996_6,like
.\train_frames\305_74,brown
.\train_frames\308_13,white
.\train_frames\314_70,same
.\train_frames\3169_75,thanks
.\train_frames\3179_83,when
.\train_frames\3183_22,learn
.\train_frames\3189_21,student
.\train_frames\3198_49,computer
.\train_frames\319_66,english
.\train_frames\31_72,day
.\train_frames\3201_55,but
.\train_frames\3233_96,pink
.\train_frames\3236_33,cousin
.\train_frames\3237_33,cousin
.\train_frames\3238_33,cousin
.\train_frames\3239_33,cousin
.\train_frames\3251_4,no
.\train_frames\3254_2,teacher
.\train_frames\3260_86,sign
.\train_frames\3276_50,help
.\train_frames\3277_50,help
.\train_frames\327_14,bird
.\train_frames\3287_0,hello
.\train_frames\3296_17,friend
.\train_frames\3297_50,help
.\train_frames\32_72,day
.\train_frames\3305_23,spring
.\train_frames\3306_23,spring
.\train_frames\3307_23,spring
.\train_frames\3308_23,spring
.\train_frames\3310_95,france
.\train_frames\3311_4,no
.\train_frames\3315_54,hungry
.\train_frames\3316_54,hungry
.\train_frames\3317_54,hungry
.\train_frames\3320_99,night
.\train_frames\3322_77,here
.\train_frames\3323_77,here
.\train_frames\3327_40,fine
.\train_frames\3330_73,now
.\train_frames\3331_73,now
.\train_frames\3333_81,bad
.\train_frames\3335_15,what
.\train_frames\3349_85,play
.\train_frames\3353_83,when
.\train_frames\339_19,mother
.\train_frames\33_72,day
.\train_frames\3408_18,sit
.\train_frames\3409_28,table
.\train_frames\340_19,mother
.\train_frames\3412_57,bathroom
.\train_frames\3416_10,school
.\train_frames\3418_35,paper
.\train_frames\3419_38,book
.\train_frames\3431_28,table
.\train_frames\3437_8,want
.\train_frames\3438_7,orange
.\train_frames\3439_13,white
.\train_frames\343_46,bored
.\train_frames\3440_13,white
.\train_frames\3441_74,brown
.\train_frames\3442_100,apple
.\train_frames\344_46,bored
.\train_frames\3451_48,water
.\train_frames\3454_35,paper
.\train_frames\349_97,know
.\train_frames\34_72,day
.\train_frames\350_6,like
.\train_frames\3525_61,red
.\train_frames\3530_26,again
.\train_frames\353_27,sad
.\train_frames\3547_26,again
.\train_frames\3548_11,sister
.\train_frames\3549_72,day
.\train_frames\354_27,sad
.\train_frames\3553_37,nothing
.\train_frames\3556_82,read
.\train_frames\3560_76,hurt
.\train_frames\356_63,sick
.\train_frames\3574_68,you
.\train_frames\3575_68,you
.\train_frames\3583_24,good
.\train_frames\3587_58,man
.\train_frames\3588_93,woman
.\train_frames\3598_49,computer
.\train_frames\3601_66,english
.\train_frames\3651_85,play
.\train_frames\3655_88,big
.\train_frames\3656_88,big
.\train_frames\3676_79,pencil
.\train_frames\3677_67,name
.\train_frames\3680_80,walk
.\train_frames\3690_99,night
.\train_frames\3695_72,day
.\train_frames\3707_1,nice
.\train_frames\3732_66,english
.\train_frames\3733_66,english
.\train_frames\3737_95,france
.\train_frames\375_14,bird
.\train_frames\378_25,fish
.\train_frames\3794_73,now
.\train_frames\3807_61,red
.\train_frames\3808_61,red
.\train_frames\3809_61,red
.\train_frames\3810_61,red
.\train_frames\3812_49,computer
.\train_frames\3823_69,who
.\train_frames\3831_55,but
.\train_frames\3837_68,you
.\train_frames\3843_83,when
.\train_frames\3869_6,like
.\train_frames\386_82,read
.\train_frames\3870_72,day
.\train_frames\3874_99,night
.\train_frames\3875_99,night
.\train_frames\3879_30,where
.\train_frames\3893_13,white
.\train_frames\3894_41,black
.\train_frames\3895_61,red
.\train_frames\3896_52,yellow
.\train_frames\3897_7,orange
.\train_frames\3898_65,green
.\train_frames\3899_64,blue
.\train_frames\38_5,happy
.\train_frames\3904_69,who
.\train_frames\3905_37,nothing
.\train_frames\3913_41,black
.\train_frames\3914_41,black
.\train_frames\3915_14,bird
.\train_frames\3916_14,bird
.\train_frames\3922_93,woman
.\train_frames\3936_43,lost
.\train_frames\393_84,dance
.\train_frames\3943_94,right
.\train_frames\3951_47,please
.\train_frames\3952_75,thanks
.\train_frames\3955_4,no
.\train_frames\3957_9,deaf
.\train_frames\3987_61,red
.\train_frames\39_27,sad
.\train_frames\3_38,book
.\train_frames\4018_91,draw
.\train_frames\4019_66,english
.\train_frames\4023_76,hurt
.\train_frames\4028_84,dance
.\train_frames\4030_86,sign
.\train_frames\4035_50,help
.\train_frames\4036_50,help
.\train_frames\4045_74,brown
.\train_frames\404_43,lost
.\train_frames\4064_48,water
.\train_frames\4065_55,but
.\train_frames\4067_13,white
.\train_frames\4068_41,black
.\train_frames\4069_64,blue
.\train_frames\406_98,live
.\train_frames\4070_61,red
.\train_frames\4071_74,brown
.\train_frames\4072_65,green
.\train_frames\4074_96,pink
.\train_frames\4077_31,father
.\train_frames\4082_18,sit
.\train_frames\4083_35,paper
.\train_frames\4084_53,write
.\train_frames\4085_91,draw
.\train_frames\4086_94,right
.\train_frames\4088_0,hello
.\train_frames\4089_67,name
.\train_frames\4098_23,spring
.\train_frames\40_27,sad
.\train_frames\4100_61,red
.\train_frames\4103_68,you
.\train_frames\4111_21,student
.\train_frames\4180_94,right
.\train_frames\4181_96,pink
.\train_frames\4191_27,sad
.\train_frames\4197_28,table
.\train_frames\4200_79,pencil
.\train_frames\4201_79,pencil
.\train_frames\4202_79,pencil
.\train_frames\4203_10,school
.\train_frames\4218_28,table
.\train_frames\4224_25,fish
.\train_frames\4231_15,what
.\train_frames\4232_15,what
.\train_frames\4239_59,how
.\train_frames\4241_5,happy
.\train_frames\4244_15,what
.\train_frames\4247_38,book
.\train_frames\4255_35,paper
.\train_frames\4281_78,grandmother
.\train_frames\4282_28,table
.\train_frames\4284_58,man
.\train_frames\4286_83,when
.\train_frames\4288_75,thanks
.\train_frames\4297_17,friend
.\train_frames\4298_97,know
.\train_frames\4307_85,play
.\train_frames\4314_80,walk
.\train_frames\4317_48,water
.\train_frames\4320_100,apple
.\train_frames\4326_50,help
.\train_frames\4332_23,spring
.\train_frames\4343_63,sick
.\train_frames\4345_51,doctor
.\train_frames\4347_21,student
.\train_frames\4356_71,nurse
.\train_frames\4357_2,teacher
.\train_frames\4363_18,sit
.\train_frames\4364_84,dance
.\train_frames\4365_1,nice
.\train_frames\437_19,mother
.\train_frames\4411_66,english
.\train_frames\4419_95,france
.\train_frames\4422_91,draw
.\train_frames\4426_35,paper
.\train_frames\4427_79,pencil
.\train_frames\4429_38,book
.\train_frames\442_13,white
.\train_frames\4432_21,student
.\train_frames\4433_2,teacher
.\train_frames\4434_17,friend
.\train_frames\4438_71,nurse
.\train_frames\4439_71,nurse
.\train_frames\4440_10,school
.\train_frames\4443_57,bathroom
.\train_frames\4447_82,read
.\train_frames\4448_53,write
.\train_frames\4450_22,learn
.\train_frames\4464_12,finish
.\train_frames\4483_70,same
.\train_frames\4484_61,red
.\train_frames\4490_6,like
.\train_frames\4498_62,beautiful
.\train_frames\44_8,want
.\train_frames\4530_72,day
.\train_frames\4531_72,day
.\train_frames\453_35,paper
.\train_frames\4543_14,bird
.\train_frames\4552_14,bird
.\train_frames\456_60,understand
.\train_frames\4581_59,how
.\train_frames\4582_59,how
.\train_frames\4597_11,sister
.\train_frames\45_97,know
.\train_frames\4607_36,forget
.\train_frames\4614_28,table
.\train_frames\4615_18,sit
.\train_frames\4616_79,pencil
.\train_frames\4632_91,draw
.\train_frames\4633_56,drink
.\train_frames\4638_4,no
.\train_frames\4639_20,yes
.\train_frames\4646_64,blue
.\train_frames\4647_52,yellow
.\train_frames\4648_65,green
.\train_frames\4650_61,red
.\train_frames\4651_96,pink
.\train_frames\4652_96,pink
.\train_frames\4653_74,brown
.\train_frames\4654_41,black
.\train_frames\4655_13,white
.\train_frames\4694_95,france
.\train_frames\4698_20,yes
.\train_frames\46_97,know
.\train_frames\4705_88,big
.\train_frames\4706_3,eat
.\train_frames\4722_25,fish
.\train_frames\4726_14,bird
.\train_frames\4734_32,milk
.\train_frames\4735_48,water
.\train_frames\4743_7,orange
.\train_frames\4747_94,right
.\train_frames\4770_59,how
.\train_frames\4771_59,how
.\train_frames\4772_59,how
.\train_frames\4773_5,happy
.\train_frames\4774_5,happy
.\train_frames\4775_27,sad
.\train_frames\4776_27,sad
.\train_frames\4779_46,bored
.\train_frames\4780_46,bored
.\train_frames\47_29,need
.\train_frames\4802_89,sorry
.\train_frames\4803_89,sorry
.\train_frames\4804_89,sorry
.\train_frames\4818_41,black
.\train_frames\4819_41,black
.\train_frames\4825_51,doctor
.\train_frames\4826_51,doctor
.\train_frames\4849_76,hurt
.\train_frames\4850_76,hurt
.\train_frames\4877_23,spring
.\train_frames\4878_23,spring
.\train_frames\48_59,how
.\train_frames\4913_13,white
.\train_frames\4914_13,white
.\train_frames\4920_35,paper
.\train_frames\4924_70,same
.\train_frames\4929_32,milk
.\train_frames\4930_32,milk
.\train_frames\4931_32,milk
.\train_frames\4932_32,milk
.\train_frames\4933_3,eat
.\train_frames\4934_3,eat
.\train_frames\4935_3,eat
.\train_frames\4936_47,please
.\train_frames\4937_47,please
.\train_frames\4938_50,help
.\train_frames\4939_50,help
.\train_frames\4940_50,help
.\train_frames\4941_19,mother
.\train_frames\4942_19,mother
.\train_frames\4943_19,mother
.\train_frames\4944_19,mother
.\train_frames\4945_19,mother
.\train_frames\4946_31,father
.\train_frames\4947_31,father
.\train_frames\4948_31,father
.\train_frames\4949_31,father
.\train_frames\4950_31,father
.\train_frames\4951_78,grandmother
.\train_frames\4952_78,grandmother
.\train_frames\4953_78,grandmother
.\train_frames\4954_78,grandmother
.\train_frames\4955_78,grandmother
.\train_frames\4956_78,grandmother
.\train_frames\4957_92,grandfather
.\train_frames\4958_92,grandfather
.\train_frames\4959_92,grandfather
.\train_frames\4960_92,grandfather
.\train_frames\4961_92,grandfather
.\train_frames\4962_92,grandfather
.\train_frames\4963_75,thanks
.\train_frames\4964_75,thanks
.\train_frames\4965_75,thanks
.\train_frames\4971_91,draw
.\train_frames\4976_38,book
.\train_frames\4978_53,write
.\train_frames\4981_77,here
.\train_frames\4982_67,name
.\train_frames\4983_59,how
.\train_frames\4984_15,what
.\train_frames\4986_83,when
.\train_frames\4987_30,where
.\train_frames\4988_44,family
.\train_frames\4989_44,family
.\train_frames\498_12,finish
.\train_frames\4990_17,friend
.\train_frames\4991_11,sister
.\train_frames\4992_34,brother
.\train_frames\4993_42,boy
.\train_frames\4994_39,girl
.\train_frames\4995_58,man
.\train_frames\4996_93,woman
.\train_frames\4997_0,hello
.\train_frames\499_3,eat
.\train_frames\5002_80,walk
.\train_frames\5005_47,please
.\train_frames\5006_82,read
.\train_frames\5008_12,finish
.\train_frames\5011_84,dance
.\train_frames\5020_89,sorry
.\train_frames\5022_1,nice
.\train_frames\5026_6,like
.\train_frames\5027_6,like
.\train_frames\5028_24,good
.\train_frames\5038_44,family
.\train_frames\5059_84,dance
.\train_frames\5064_45,hearing
.\train_frames\5069_44,family
.\train_frames\5070_44,family
.\train_frames\5075_78,grandmother
.\train_frames\5076_78,grandmother
.\train_frames\5077_92,grandfather
.\train_frames\5078_92,grandfather
.\train_frames\5081_33,cousin
.\train_frames\5082_33,cousin
.\train_frames\5102_17,friend
.\train_frames\5103_17,friend
.\train_frames\5111_73,now
.\train_frames\5130_12,finish
.\train_frames\5131_12,finish
.\train_frames\5132_12,finish
.\train_frames\5159_63,sick
.\train_frames\5166_48,water
.\train_frames\5193_26,again
.\train_frames\5194_26,again
.\train_frames\5197_98,live
.\train_frames\5198_98,live
.\train_frames\5235_66,english
.\train_frames\5236_66,english
.\train_frames\5237_66,english
.\train_frames\5238_66,english
.\train_frames\5247_95,france
.\train_frames\5283_43,lost
.\train_frames\5290_37,nothing
.\train_frames\5308_10,school
.\train_frames\5329_100,apple
.\train_frames\5331_54,hungry
.\train_frames\5333_98,live
.\train_frames\5341_67,name
